pk_cid,recency
17980,1
21719,1
29008,1
32376,1
33620,1
35509,1
37299,1
43520,1
43834,1
44012,1
44604,1
46374,1
48604,1
51819,1
55000,1
61578,1
64859,1
66770,1
77195,1
79841,1
80287,1
81958,1
89386,1
100296,1
101658,1
103929,1
104152,1
104328,1
114080,1
118094,1
119065,1
121069,1
121495,1
122346,1
128878,1
129077,1
130522,1
130625,1
132663,1
132830,1
133108,1
144891,1
145807,1
148406,1
149278,1
151135,1
154511,1
156944,1
158043,1
158137,1
158366,1
160513,1
160914,1
167869,1
168399,1
173358,1
173663,1
175130,1
176583,1
177276,1
178489,1
181756,1
188366,1
189261,1
200174,1
202017,1
204296,1
205287,1
208508,1
212284,1
218007,1
224433,1
224523,1
232148,1
234244,1
235814,1
239752,1
243372,1
252823,1
263977,1
267779,1
270196,1
273907,1
274360,1
276167,1
280895,1
286885,1
287435,1
296407,1
297456,1
297461,1
301477,1
303872,1
306221,1
308843,1
314805,1
315028,1
319379,1
322048,1
322205,1
325341,1
330108,1
331251,1
332532,1
342829,1
343086,1
347172,1
349777,1
352174,1
356989,1
358036,1
359710,1
360490,1
363054,1
363203,1
366618,1
371943,1
372239,1
372532,1
374423,1
379560,1
387011,1
388143,1
389204,1
391068,1
392075,1
399991,1
404481,1
404518,1
405205,1
408412,1
411975,1
414209,1
414536,1
415649,1
416374,1
419840,1
428397,1
430030,1
437009,1
442771,1
443976,1
458693,1
468167,1
469051,1
470836,1
476023,1
484039,1
484400,1
487874,1
490581,1
495761,1
496262,1
505585,1
505811,1
510289,1
512578,1
521658,1
522331,1
522689,1
523174,1
524718,1
527796,1
536913,1
543948,1
545354,1
549722,1
558319,1
564039,1
564582,1
569942,1
574136,1
574212,1
576140,1
576613,1
578118,1
582195,1
583302,1
585639,1
586924,1
588316,1
588526,1
591246,1
592990,1
593963,1
599694,1
600434,1
600794,1
601084,1
601473,1
602910,1
604640,1
610429,1
613582,1
614903,1
616083,1
616552,1
623624,1
623894,1
624029,1
624577,1
631007,1
631189,1
637140,1
641438,1
643263,1
644376,1
647070,1
650683,1
655682,1
656163,1
656915,1
664217,1
664510,1
671445,1
673862,1
674237,1
679237,1
681127,1
681795,1
682061,1
697329,1
700221,1
711237,1
712705,1
718059,1
723164,1
730969,1
731917,1
734022,1
736257,1
740369,1
744064,1
744755,1
744920,1
751921,1
752741,1
755480,1
760232,1
760525,1
760801,1
764124,1
767712,1
768996,1
775370,1
775820,1
777042,1
777174,1
778832,1
779124,1
782167,1
786754,1
789710,1
793035,1
795905,1
800793,1
803436,1
803494,1
804138,1
804650,1
804854,1
806082,1
807847,1
810086,1
813948,1
814340,1
820964,1
823955,1
824539,1
825063,1
825455,1
825523,1
828138,1
835504,1
838075,1
838512,1
838730,1
840620,1
841483,1
842601,1
843591,1
848143,1
848475,1
851516,1
851704,1
852176,1
853468,1
854939,1
855512,1
855664,1
856240,1
856552,1
856608,1
856843,1
858641,1
860004,1
861310,1
861841,1
862792,1
862920,1
862963,1
863858,1
864101,1
865665,1
868355,1
869414,1
870422,1
871010,1
871653,1
873153,1
875119,1
875297,1
876066,1
876842,1
876957,1
879319,1
880053,1
881725,1
881747,1
882391,1
883425,1
883426,1
884989,1
885387,1
890734,1
897501,1
897613,1
897826,1
898354,1
900032,1
900976,1
905190,1
905313,1
905570,1
906260,1
907444,1
908259,1
911836,1
912714,1
913222,1
914953,1
914970,1
915191,1
916184,1
917231,1
917252,1
917373,1
918661,1
935406,1
935710,1
936276,1
940093,1
941497,1
944670,1
966906,1
973689,1
1000948,1
1001894,1
1001935,1
1005273,1
1006448,1
1007711,1
1008973,1
1010926,1
1012358,1
1015466,1
1016665,1
1018502,1
1019494,1
1019691,1
1021856,1
1022482,1
1022746,1
1024054,1
1049480,1
1055624,1
1058319,1
1061168,1
1062169,1
1068229,1
1075423,1
1078964,1
1083836,1
1086942,1
1088017,1
1093451,1
1096396,1
1101054,1
1101219,1
1104096,1
1104128,1
1108495,1
1111682,1
1114122,1
1117144,1
1117781,1
1118258,1
1119637,1
1120557,1
1120656,1
1121499,1
1121806,1
1122029,1
1122100,1
1123130,1
1123345,1
1123865,1
1124195,1
1124457,1
1125662,1
1125796,1
1125904,1
1127335,1
1132766,1
1133052,1
1133363,1
1133697,1
1134189,1
1134202,1
1134461,1
1134965,1
1135953,1
1136174,1
1137633,1
1137780,1
1137788,1
1138045,1
1138126,1
1138163,1
1138583,1
1140078,1
1150500,1
1150659,1
1151639,1
1160205,1
1160549,1
1169655,1
1178210,1
1180392,1
1182413,1
1184477,1
1185753,1
1212328,1
1213265,1
1217315,1
1218420,1
1220184,1
1221049,1
1231239,1
1232044,1
1232082,1
1232226,1
1232864,1
1233066,1
1236040,1
1237336,1
1237874,1
1237934,1
1239013,1
1239441,1
1242148,1
1242225,1
1242346,1
1243391,1
1244363,1
1245634,1
1246776,1
1246829,1
1246858,1
1247992,1
1249647,1
1249986,1
1250617,1
1250680,1
1250919,1
1250999,1
1251053,1
1252692,1
1253233,1
1253619,1
1254961,1
1255081,1
1255117,1
1255290,1
1255910,1
1256178,1
1256705,1
1256838,1
1258531,1
1259466,1
1259597,1
1259698,1
1260424,1
1260463,1
1260925,1
1260983,1
1261455,1
1262250,1
1262583,1
1263087,1
1263104,1
1263501,1
1264043,1
1266314,1
1266421,1
1266426,1
1266484,1
1267251,1
1267764,1
1268717,1
1269189,1
1269956,1
1270285,1
1271794,1
1273930,1
1282811,1
1283940,1
1284151,1
1288413,1
1294907,1
1294939,1
1295548,1
1296084,1
1297141,1
1297474,1
1297488,1
1297807,1
1297890,1
1298425,1
1300044,1
1301027,1
1302739,1
1306104,1
1307142,1
1310710,1
1311520,1
1312069,1
1312070,1
1312345,1
1316287,1
1317553,1
1317623,1
1318926,1
1320062,1
1320243,1
1326268,1
1327246,1
1327396,1
1330764,1
1332364,1
1333945,1
1336631,1
1336921,1
1341094,1
1342941,1
1344808,1
1345436,1
1345908,1
1347591,1
1350643,1
1350661,1
1351313,1
1351708,1
1352342,1
1352634,1
1354957,1
1355047,1
1355123,1
1357053,1
1358838,1
1358881,1
1359436,1
1360283,1
1360968,1
1361768,1
1365098,1
1366647,1
1366889,1
1367600,1
1367710,1
1368798,1
1368959,1
1369353,1
1369543,1
1369647,1
1370527,1
1370535,1
1371141,1
1371826,1
1372210,1
1373977,1
1373984,1
1373989,1
1374001,1
1374014,1
1374015,1
1374022,1
1374025,1
1374027,1
1374028,1
1374030,1
1374033,1
1374034,1
1374038,1
1374039,1
1374047,1
1374066,1
1374068,1
1374070,1
1374071,1
1374075,1
1374079,1
1374081,1
1374082,1
1374085,1
1374090,1
1374095,1
1374100,1
1374105,1
1374111,1
1374114,1
1374117,1
1374121,1
1374123,1
1374133,1
1374135,1
1374138,1
1374139,1
1374141,1
1374144,1
1374146,1
1374148,1
1374151,1
1374152,1
1374154,1
1374163,1
1374165,1
1374166,1
1374167,1
1374169,1
1374171,1
1374175,1
1374180,1
1374184,1
1374185,1
1374186,1
1374190,1
1374195,1
1374196,1
1374200,1
1374203,1
1374204,1
1374205,1
1374206,1
1374207,1
1374208,1
1374210,1
1374211,1
1374217,1
1374219,1
1374221,1
1374224,1
1374225,1
1374226,1
1374228,1
1374229,1
1374231,1
1374235,1
1374238,1
1374240,1
1374243,1
1374244,1
1374245,1
1374247,1
1374249,1
1374251,1
1374257,1
1374262,1
1374264,1
1374267,1
1374270,1
1374276,1
1374278,1
1374282,1
1374284,1
1374285,1
