,pk_cid,recency,ingesta,frequency,monetary_value,r_quartile,f_quartile,m_quartile,i_quartile,RFMScore,region_code,salary,age,gender,unidades_vendidas_total,em_acount,debit_card
6363,1383985,459,454,16,560,4,1,1,1,411,28.0,108144,31,1,2.0,1.0,0.0
1078,1387430,442,426,15,1180,4,1,1,1,411,50.0,113652,37,2,3.0,0.0,1.0
2145,1390773,417,395,14,980,4,1,1,1,411,41.0,111104,34,2,2.0,1.0,1.0
673,1378121,487,485,17,1360,4,1,1,1,411,24.0,111329,51,2,3.0,1.0,0.0
6768,1375240,504,485,17,530,4,1,1,1,411,41.0,361168,20,2,1.0,1.0,0.0
5027,1379676,480,454,16,660,4,1,1,1,411,41.0,104182,47,2,3.0,0.0,0.0
2290,1391344,415,395,14,940,4,1,1,1,411,11.0,39089,34,1,2.0,0.0,1.0
8153,1397209,378,365,13,390,4,1,1,1,411,3.0,52544,30,1,1.0,1.0,0.0
5297,1387734,438,426,15,650,4,1,1,1,411,41.0,38816,34,1,2.0,1.0,0.0
10515,1386437,448,426,15,230,4,1,1,1,411,3.0,66513,33,1,1.0,1.0,0.0
10837,1398182,372,365,13,220,4,1,1,1,411,28.0,62601,62,2,1.0,1.0,0.0
8113,1403577,333,334,12,400,4,1,1,1,411,43.0,121710,47,1,2.0,0.0,0.0
1393,1389715,428,426,15,1110,4,1,1,1,411,18.0,122076,30,2,2.0,1.0,0.0
4830,1383770,462,454,16,680,4,1,1,1,411,46.0,96065,36,1,2.0,1.0,0.0
10703,1393907,399,395,14,230,4,1,1,1,411,28.0,144014,33,1,2.0,1.0,0.0
7589,1387166,443,426,15,450,4,1,1,1,411,8.0,191897,31,2,1.0,1.0,0.0
7244,1401411,350,334,12,480,4,1,1,1,411,28.0,177039,28,1,1.5,1.0,0.5
3717,1402762,340,334,12,780,4,1,1,1,411,28.0,218881,31,1,2.0,1.0,1.0
7103,1391455,414,395,14,500,4,1,1,1,411,28.0,218923,49,1,1.0,0.0,0.0
3247,1383980,459,454,16,820,4,1,1,1,411,41.0,31105,45,2,2.0,1.0,1.0
6372,1404822,326,304,11,560,4,1,1,2,411,28.0,132212,62,2,3.0,0.0,0.0
385,1386855,444,365,13,1560,4,1,1,1,411,8.0,113652,33,2,5.0,1.0,1.0
1261,1376663,497,485,17,1130,4,1,1,1,411,18.0,104750,41,1,2.0,1.0,1.0
2372,1390060,424,365,13,930,4,1,1,1,411,28.0,113652,33,2,3.0,0.0,0.0
8140,1384165,459,426,15,390,4,1,1,1,411,15.0,99949,45,2,1.0,1.0,0.0
9826,1382166,470,454,16,260,4,1,1,1,411,28.0,113153,35,1,1.0,0.0,0.0
6247,1386009,450,426,15,570,4,1,1,1,411,7.0,212240,20,1,1.0,0.0,0.0
