pk_cid,recency,ingesta,frequency,monetary_value,r_quartile,f_quartile,m_quartile,i_quartile,RFMScore,region_code,salary,age,gender,unidades_vendidas_total,em_acount,debit_card
1374819,505,485,17,4290.0,4,1,1,1,411,28.0,121839.0,38.0,2.0,8.0,0.0,1.0
1392320,408,395,14,3190.0,4,1,1,1,411,28.0,107353.08,27.0,1.0,7.0,1.0,1.0
1377496,492,485,17,2880.0,4,1,1,1,411,28.0,101396.49,28.0,1.0,6.0,0.0,1.0
1374123,508,485,17,2850.0,4,1,1,1,411,28.0,113652.32033026773,52.0,2.0,6.0,0.0,1.0
1374403,506,485,17,2840.0,4,1,1,1,411,28.0,90748.62,51.0,1.0,6.0,0.0,1.0
1399438,365,365,13,2830.0,4,1,1,1,411,8.0,99183.06,52.0,2.0,6.0,0.0,1.0
1375456,501,485,17,2760.0,4,1,1,1,411,28.0,90702.81,50.0,2.0,5.0,0.0,1.0
1387215,443,426,15,2740.0,4,1,1,1,411,28.0,224216.16,41.0,2.0,6.0,0.0,1.0
1374818,505,485,17,2740.0,4,1,1,1,411,28.0,121839.0,38.0,2.0,6.0,1.0,1.0
1387232,443,426,15,2720.0,4,1,1,1,411,19.0,57903.93000000001,39.0,1.0,6.0,0.0,1.0
1374219,508,485,17,2700.0,4,1,1,1,411,33.0,112902.0,33.0,2.0,5.0,0.0,1.0
1378078,487,485,17,2670.0,4,1,1,1,411,28.0,124131.42,55.0,1.0,4.0,0.0,1.0
1377372,492,485,17,2660.0,4,1,1,1,411,28.0,114187.88999999998,56.0,1.0,5.0,0.0,1.0
1389351,429,426,15,2660.0,4,1,1,1,411,46.0,65386.31999999999,61.0,2.0,6.0,0.0,1.0
1382878,466,454,16,2650.0,4,1,1,1,411,39.0,67573.29000000001,42.5,2.0,5.0,0.0,1.0
1385001,456,426,15,2640.0,4,1,1,1,411,28.0,61481.22,45.0,2.0,5.0,0.0,1.0
1389468,429,395,14,2640.0,4,1,1,1,411,28.0,149075.34,37.0,2.0,6.0,1.0,1.0
582195,472,454,16,2610.0,4,1,1,1,411,28.0,158588.01,52.0,1.0,6.0,0.0,1.0
1378407,486,485,17,2590.0,4,1,1,1,411,21.0,57272.94,65.0,2.0,4.0,0.0,1.0
1375008,504,485,17,2540.0,4,1,1,1,411,28.0,241063.98,54.0,2.0,5.0,0.0,1.0
1376035,499,485,17,2530.0,4,1,1,1,411,28.0,113652.32033026773,25.0,1.0,6.0,0.0,1.0
1382158,470,454,16,2530.0,4,1,1,1,411,28.0,142650.66,43.0,1.0,6.5,0.0,1.0
1376606,497,485,17,2510.0,4,1,1,1,411,28.0,87393.9,53.0,1.0,5.0,0.0,1.0
1365098,489,454,16,2510.0,4,1,1,1,411,8.0,113652.32033026773,36.0,2.0,4.0,0.0,1.0
1391163,415,395,14,2490.0,4,1,1,1,411,43.0,44239.14,60.0,2.0,6.0,0.0,1.0
1386299,449,426,15,2490.0,4,1,1,1,411,28.0,139067.25,29.0,1.0,6.0,0.0,1.0
1379400,480,454,16,2470.0,4,1,1,1,411,12.0,113652.32033026773,40.0,1.0,5.0,0.0,1.0
1391779,410,395,14,2460.0,4,1,1,1,411,41.0,113652.32033026773,39.0,2.0,5.0,0.0,1.0
1388494,435,426,15,2460.0,4,1,1,1,411,9.0,81257.81999999999,38.0,2.0,7.0,1.0,1.0
1402199,344,334,12,2440.0,4,1,1,1,411,7.0,81001.41,55.0,2.0,7.0,1.0,1.0
1374762,505,485,17,2430.0,4,1,1,1,411,18.0,116605.17,60.0,2.0,4.0,0.0,1.0
1391107,415,395,14,2420.0,4,1,1,1,411,28.0,86056.29000000001,57.0,2.0,6.0,0.0,1.0
1380779,476,454,16,2420.0,4,1,1,1,411,11.0,111569.37,35.0,1.0,5.0,0.0,1.0
1376920,494,485,17,2370.0,4,1,1,1,411,36.0,132434.19,37.0,2.0,5.0,1.0,1.0
1376103,499,485,17,2370.0,4,1,1,1,411,30.0,141299.37,36.0,1.0,5.0,0.0,1.0
487874,415,395,14,2360.0,4,1,1,1,411,28.0,113652.32033026773,46.0,1.0,6.0,0.0,1.0
1384778,457,426,15,2340.0,4,1,1,1,411,28.0,75948.51,44.0,2.0,5.0,0.0,1.0
1377091,493,485,17,2320.0,4,1,1,1,411,28.0,113652.32033026773,34.0,1.0,5.0,0.0,1.0
1376140,499,485,17,2320.0,4,1,1,1,411,34.0,92399.19,32.0,2.0,5.0,1.0,1.0
1379239,483,454,16,2320.0,4,1,1,1,411,28.0,105121.83,27.0,2.0,5.0,0.0,1.0
1385827,451,426,15,2320.0,4,1,1,1,411,34.0,42403.35000000001,32.0,2.0,5.0,0.0,1.0
1384162,459,454,16,2310.0,4,1,1,1,411,28.0,188324.88,41.0,1.0,4.5,0.0,1.0
1379571,480,454,16,2310.0,4,1,1,1,411,50.0,79363.23,49.0,2.0,4.0,0.0,1.0
1386361,448,426,15,2280.0,4,1,1,1,411,28.0,61006.17,37.0,1.0,5.0,0.0,1.0
1101054,409,395,14,2260.0,4,1,1,1,411,28.0,133972.34999999998,53.0,1.0,6.0,0.0,1.0
1384682,457,454,16,2240.0,4,1,1,1,411,3.0,39096.18,50.5,1.0,4.0,1.0,1.0
1377049,494,485,17,2240.0,4,1,1,1,411,11.0,45055.17,57.0,2.0,4.0,0.0,1.0
1385703,451,395,14,2230.0,4,1,1,1,411,48.0,113652.32033026773,43.0,1.0,6.0,0.0,1.0
1384147,459,454,16,2230.0,4,1,1,1,411,28.0,108390.38999999998,32.0,2.0,5.0,0.0,1.0
1387805,438,426,15,2230.0,4,1,1,1,411,28.0,645378.1499999999,45.0,1.0,6.0,0.0,1.0
1384393,458,426,15,2230.0,4,1,1,1,411,8.0,94542.84,41.0,1.0,5.0,0.0,1.0
1255910,476,454,16,2230.0,4,1,1,1,411,50.0,51208.92,45.0,1.0,5.0,0.0,1.0
1399509,364,334,12,2220.0,4,1,1,1,411,33.0,48143.37,48.0,2.0,7.0,0.0,1.0
1392166,409,395,14,2210.0,4,1,1,1,411,26.0,113652.32033026773,41.0,2.0,6.0,1.0,1.0
1387762,438,426,15,2200.0,4,1,1,1,411,28.0,39058.11,38.0,2.0,5.0,0.0,1.0
1385414,452,426,15,2200.0,4,1,1,1,411,28.0,89810.91,39.0,2.0,5.0,0.0,1.0
1385198,455,426,15,2200.0,4,1,1,1,411,28.0,49759.56,51.0,1.0,5.0,0.0,1.0
1384985,456,426,15,2200.0,4,1,1,1,411,1.0,113652.32033026773,32.0,2.0,5.0,0.0,1.0
1377414,492,485,17,2190.0,4,1,1,1,411,35.0,84551.04000000001,27.0,1.0,4.0,0.0,1.0
1378571,486,485,17,2180.0,4,1,1,1,411,2.0,60440.76,29.0,2.0,5.0,0.0,1.0
1391484,414,395,14,2160.0,4,1,1,1,411,8.0,230688.63,31.0,2.0,5.0,0.0,1.0
1384027,459,454,16,2150.0,4,1,1,1,411,8.0,108518.49,49.0,2.0,3.0,1.0,1.0
1382602,466,454,16,2140.0,4,1,1,1,411,28.0,29746.98,74.5,1.0,3.5,0.0,1.0
1389062,431,395,14,2140.0,4,1,1,1,411,48.0,113652.32033026773,43.5,2.0,6.0,0.0,1.0
1375634,501,426,15,2130.0,4,1,1,1,411,15.0,103949.55,40.0,1.0,4.0,0.0,1.0
1397701,374,365,13,2130.0,4,1,1,1,411,28.0,162766.83000000002,45.0,2.0,5.0,0.0,1.0
1391919,410,395,14,2120.0,4,1,1,1,411,7.0,50926.53,36.5,2.0,5.0,0.0,1.0
1374719,505,485,17,2120.0,4,1,1,1,411,28.0,138507.15000000002,42.0,2.0,6.0,1.0,1.0
1376178,499,485,17,2100.0,4,1,1,1,411,28.0,195295.56,31.0,1.0,5.0,0.0,1.0
1389372,429,426,15,2100.0,4,1,1,1,411,28.0,155571.38999999998,42.0,1.0,4.0,0.0,1.0
1379359,480,454,16,2100.0,4,1,1,1,411,28.0,88273.08,47.0,2.0,4.0,0.0,1.0
1374485,506,485,17,2090.0,4,1,1,1,411,28.0,29271.72,55.0,1.0,3.0,1.0,1.0
121495,500,485,17,2090.0,4,1,1,1,411,28.0,128318.52,54.0,2.0,3.0,1.0,1.0
1391092,416,395,14,2070.0,4,1,1,1,411,35.0,48310.38,40.0,1.0,5.0,0.0,1.0
1374914,505,485,17,2070.0,4,1,1,1,411,7.0,114133.47,43.0,2.0,5.0,1.0,1.0
1377309,493,485,17,2070.0,4,1,1,1,411,8.0,113652.32033026773,28.0,2.0,3.0,0.0,1.0
1393453,401,395,14,2060.0,4,1,1,1,411,14.0,118254.21,48.0,2.0,5.0,1.0,1.0
1217315,504,485,17,2050.0,4,1,1,1,411,41.0,40681.74,48.0,2.0,4.0,0.0,1.0
1376927,494,485,17,2050.0,4,1,1,1,411,28.0,147839.49,40.0,1.0,3.0,1.0,1.0
1375105,504,485,17,2050.0,4,1,1,1,411,8.0,120987.9,36.0,2.0,5.0,0.0,1.0
